Training: 2025-04-15 11:47:47,241-Speed 62.74 samples/sec   Loss 2.8652   LearningRate 0.000999   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:48:09,218-Speed 58.24 samples/sec   Loss 2.8208   LearningRate 0.000999   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:48:29,539-Speed 62.99 samples/sec   Loss 3.1435   LearningRate 0.000999   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:48:49,839-Speed 63.05 samples/sec   Loss 2.7902   LearningRate 0.000998   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:49:10,175-Speed 62.95 samples/sec   Loss 2.5643   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:49:32,955-Speed 56.19 samples/sec   Loss 2.6307   LearningRate 0.000998   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:49:53,361-Speed 62.73 samples/sec   Loss 2.4810   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:50:13,786-Speed 62.67 samples/sec   Loss 2.2725   LearningRate 0.000998   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:50:34,343-Speed 62.27 samples/sec   Loss 2.3079   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-15 11:50:54,682-Speed 62.94 samples/sec   Loss 2.2038   LearningRate 0.000998   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:51:15,569-Speed 61.28 samples/sec   Loss 2.0683   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:51:36,171-Speed 62.13 samples/sec   Loss 2.1535   LearningRate 0.000998   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:51:56,601-Speed 62.65 samples/sec   Loss 1.9395   LearningRate 0.000998   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:52:17,115-Speed 62.40 samples/sec   Loss 2.4646   LearningRate 0.000998   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:52:37,576-Speed 62.56 samples/sec   Loss 2.0689   LearningRate 0.000998   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:52:58,070-Speed 62.46 samples/sec   Loss 2.0324   LearningRate 0.000998   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:53:18,544-Speed 62.52 samples/sec   Loss 1.9102   LearningRate 0.000998   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:53:39,171-Speed 62.06 samples/sec   Loss 2.0043   LearningRate 0.000998   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:53:59,620-Speed 62.59 samples/sec   Loss 1.8422   LearningRate 0.000998   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:54:22,490-Speed 55.97 samples/sec   Loss 1.5929   LearningRate 0.000998   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 131072   Required: 165 hours
Training: 2025-04-15 11:54:42,861-Speed 62.84 samples/sec   Loss 1.7272   LearningRate 0.000998   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:55:03,299-Speed 62.63 samples/sec   Loss 1.6704   LearningRate 0.000998   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:55:23,712-Speed 62.71 samples/sec   Loss 1.3514   LearningRate 0.000998   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:55:44,208-Speed 62.45 samples/sec   Loss 1.8558   LearningRate 0.000998   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 11:56:04,725-Speed 62.39 samples/sec   Loss 1.7840   LearningRate 0.000998   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:56:25,677-Speed 61.09 samples/sec   Loss 1.8505   LearningRate 0.000998   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:56:46,841-Speed 60.48 samples/sec   Loss 1.5362   LearningRate 0.000998   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:57:08,001-Speed 60.49 samples/sec   Loss 1.4385   LearningRate 0.000998   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:57:29,185-Speed 60.42 samples/sec   Loss 1.4317   LearningRate 0.000998   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:57:49,836-Speed 61.98 samples/sec   Loss 1.4148   LearningRate 0.000998   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:58:11,501-Speed 59.08 samples/sec   Loss 1.2018   LearningRate 0.000998   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:58:32,115-Speed 62.10 samples/sec   Loss 1.2292   LearningRate 0.000998   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:58:52,797-Speed 61.89 samples/sec   Loss 1.3385   LearningRate 0.000997   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:59:13,499-Speed 61.83 samples/sec   Loss 1.3789   LearningRate 0.000997   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-15 11:59:35,799-Speed 57.40 samples/sec   Loss 1.1606   LearningRate 0.000997   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:59:56,207-Speed 62.72 samples/sec   Loss 1.2096   LearningRate 0.000997   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 65536   Required: 164 hours
