Training: 2025-04-09 13:08:01,859-Speed 38.30 samples/sec   Loss 3.2135   LearningRate 0.000999   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 262144   Required: 286 hours
Training: 2025-04-09 13:08:35,307-Speed 38.27 samples/sec   Loss 2.7091   LearningRate 0.000999   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 262144   Required: 285 hours
Training: 2025-04-09 13:09:10,672-Speed 36.19 samples/sec   Loss 2.6022   LearningRate 0.000999   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 524288   Required: 285 hours
Training: 2025-04-09 13:09:43,977-Speed 38.43 samples/sec   Loss 2.3817   LearningRate 0.000999   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 524288   Required: 285 hours
Training: 2025-04-09 13:10:16,297-Speed 39.61 samples/sec   Loss 2.7834   LearningRate 0.000998   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 524288   Required: 284 hours
Training: 2025-04-09 13:10:49,884-Speed 38.11 samples/sec   Loss 2.5652   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 524288   Required: 284 hours
Training: 2025-04-09 13:11:24,559-Speed 36.92 samples/sec   Loss 2.4191   LearningRate 0.000998   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 262144   Required: 284 hours
Training: 2025-04-09 13:11:56,643-Speed 39.90 samples/sec   Loss 2.5237   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 262144   Required: 283 hours
Training: 2025-04-09 13:12:31,057-Speed 37.19 samples/sec   Loss 2.3770   LearningRate 0.000998   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 262144   Required: 283 hours
Training: 2025-04-09 13:13:03,104-Speed 39.94 samples/sec   Loss 2.3145   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 262144   Required: 282 hours
Training: 2025-04-09 13:13:36,891-Speed 37.89 samples/sec   Loss 2.1701   LearningRate 0.000998   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 262144   Required: 282 hours
Training: 2025-04-09 13:14:10,928-Speed 37.61 samples/sec   Loss 2.1138   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 262144   Required: 281 hours
Training: 2025-04-09 13:14:43,338-Speed 39.49 samples/sec   Loss 1.6865   LearningRate 0.000998   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 262144   Required: 281 hours
Training: 2025-04-09 13:15:15,827-Speed 39.40 samples/sec   Loss 1.8207   LearningRate 0.000998   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 262144   Required: 280 hours
Training: 2025-04-09 13:15:50,124-Speed 37.32 samples/sec   Loss 1.6234   LearningRate 0.000998   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 262144   Required: 280 hours
Training: 2025-04-09 13:16:23,382-Speed 38.49 samples/sec   Loss 1.9903   LearningRate 0.000998   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 262144   Required: 280 hours
Training: 2025-04-09 13:16:56,916-Speed 38.17 samples/sec   Loss 1.6843   LearningRate 0.000998   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 262144   Required: 280 hours
Training: 2025-04-09 13:17:29,722-Speed 39.02 samples/sec   Loss 1.7817   LearningRate 0.000998   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 262144   Required: 279 hours
Training: 2025-04-09 13:18:01,988-Speed 39.67 samples/sec   Loss 1.7079   LearningRate 0.000998   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 262144   Required: 279 hours
Training: 2025-04-09 13:18:34,132-Speed 39.82 samples/sec   Loss 1.6529   LearningRate 0.000998   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 262144   Required: 278 hours
Training: 2025-04-09 13:19:06,094-Speed 40.06 samples/sec   Loss 1.6590   LearningRate 0.000998   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 262144   Required: 278 hours
Training: 2025-04-09 13:19:38,701-Speed 41.40 samples/sec   Loss 1.5139   LearningRate 0.000998   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 262144   Required: 278 hours
Training: 2025-04-09 13:20:11,281-Speed 39.29 samples/sec   Loss 1.5237   LearningRate 0.000998   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 262144   Required: 277 hours
Training: 2025-04-09 13:20:43,416-Speed 39.83 samples/sec   Loss 1.4840   LearningRate 0.000998   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 262144   Required: 277 hours
Training: 2025-04-09 13:21:14,210-Speed 41.57 samples/sec   Loss 1.5850   LearningRate 0.000998   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 262144   Required: 276 hours
Training: 2025-04-09 13:21:46,255-Speed 39.94 samples/sec   Loss 1.6221   LearningRate 0.000998   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 262144   Required: 276 hours
Training: 2025-04-09 13:22:16,703-Speed 42.04 samples/sec   Loss 1.4290   LearningRate 0.000998   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 524288   Required: 275 hours
Training: 2025-04-09 13:22:46,918-Speed 42.36 samples/sec   Loss 1.4738   LearningRate 0.000998   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 524288   Required: 275 hours
Training: 2025-04-09 13:23:17,154-Speed 42.33 samples/sec   Loss 1.2531   LearningRate 0.000998   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 524288   Required: 274 hours
Training: 2025-04-09 13:23:47,553-Speed 42.11 samples/sec   Loss 1.2620   LearningRate 0.000998   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 524288   Required: 274 hours
Training: 2025-04-09 13:24:17,321-Speed 43.00 samples/sec   Loss 1.3743   LearningRate 0.000998   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 524288   Required: 273 hours
Training: 2025-04-09 13:24:47,337-Speed 42.65 samples/sec   Loss 1.3343   LearningRate 0.000998   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 524288   Required: 273 hours
Training: 2025-04-09 13:25:16,986-Speed 43.17 samples/sec   Loss 1.3194   LearningRate 0.000998   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 524288   Required: 272 hours
Training: 2025-04-09 13:25:46,636-Speed 43.17 samples/sec   Loss 1.6576   LearningRate 0.000997   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 524288   Required: 272 hours
Training: 2025-04-09 13:26:16,535-Speed 42.81 samples/sec   Loss 1.3434   LearningRate 0.000997   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 524288   Required: 271 hours
Training: 2025-04-09 13:26:48,228-Speed 40.39 samples/sec   Loss 1.5725   LearningRate 0.000997   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 524288   Required: 271 hours
Training: 2025-04-09 13:27:18,767-Speed 41.91 samples/sec   Loss 1.2595   LearningRate 0.000997   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 1048576   Required: 270 hours
Training: 2025-04-09 13:27:48,563-Speed 42.96 samples/sec   Loss 1.1156   LearningRate 0.000997   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 524288   Required: 270 hours
Training: 2025-04-09 13:28:17,818-Speed 43.75 samples/sec   Loss 1.2914   LearningRate 0.000997   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 524288   Required: 270 hours
Training: 2025-04-09 13:28:47,071-Speed 43.76 samples/sec   Loss 1.1614   LearningRate 0.000997   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 524288   Required: 269 hours
Training: 2025-04-09 13:29:17,642-Speed 41.87 samples/sec   Loss 1.1492   LearningRate 0.000997   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 524288   Required: 269 hours
Training: 2025-04-09 13:29:47,558-Speed 42.79 samples/sec   Loss 1.3236   LearningRate 0.000997   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 524288   Required: 268 hours
Training: 2025-04-09 13:30:16,493-Speed 44.24 samples/sec   Loss 1.0496   LearningRate 0.000997   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 524288   Required: 268 hours
Training: 2025-04-09 13:30:44,539-Speed 45.64 samples/sec   Loss 1.3025   LearningRate 0.000997   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 524288   Required: 267 hours
Training: 2025-04-09 13:31:12,953-Speed 45.05 samples/sec   Loss 1.1949   LearningRate 0.000997   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 524288   Required: 267 hours
Training: 2025-04-09 13:31:43,096-Speed 42.47 samples/sec   Loss 1.1259   LearningRate 0.000997   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 524288   Required: 266 hours
Training: 2025-04-09 13:32:12,135-Speed 44.08 samples/sec   Loss 0.9845   LearningRate 0.000997   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 524288   Required: 266 hours
Training: 2025-04-09 13:32:40,534-Speed 45.07 samples/sec   Loss 1.1252   LearningRate 0.000997   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 1048576   Required: 265 hours
Training: 2025-04-09 13:33:09,166-Speed 44.71 samples/sec   Loss 1.0922   LearningRate 0.000997   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 524288   Required: 265 hours
Training: 2025-04-09 13:33:36,681-Speed 46.52 samples/sec   Loss 1.0874   LearningRate 0.000997   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 524288   Required: 264 hours
Training: 2025-04-09 13:34:05,054-Speed 45.11 samples/sec   Loss 1.0925   LearningRate 0.000997   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 524288   Required: 264 hours
Training: 2025-04-09 13:34:33,364-Speed 45.21 samples/sec   Loss 1.1078   LearningRate 0.000997   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 524288   Required: 263 hours
Training: 2025-04-09 13:35:01,008-Speed 46.30 samples/sec   Loss 1.0360   LearningRate 0.000997   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 524288   Required: 263 hours
