Training: 2025-04-09 13:11:08,931-Speed 37.32 samples/sec   Loss 2.8053   LearningRate 0.000999   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 65536   Required: 287 hours
Training: 2025-04-09 13:11:42,054-Speed 38.64 samples/sec   Loss 2.5214   LearningRate 0.000999   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 65536   Required: 286 hours
Training: 2025-04-09 13:12:15,474-Speed 38.30 samples/sec   Loss 2.3853   LearningRate 0.000999   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 65536   Required: 285 hours
Training: 2025-04-09 13:12:49,696-Speed 37.40 samples/sec   Loss 2.1948   LearningRate 0.000999   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 131072   Required: 285 hours
Training: 2025-04-09 13:13:23,036-Speed 38.39 samples/sec   Loss 2.0187   LearningRate 0.000998   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 131072   Required: 284 hours
Training: 2025-04-09 13:13:56,960-Speed 37.73 samples/sec   Loss 2.0332   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 131072   Required: 284 hours
Training: 2025-04-09 13:14:32,125-Speed 36.40 samples/sec   Loss 2.2094   LearningRate 0.000998   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 131072   Required: 284 hours
Training: 2025-04-09 13:15:05,856-Speed 37.95 samples/sec   Loss 1.9645   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 131072   Required: 284 hours
Training: 2025-04-09 13:15:40,227-Speed 37.24 samples/sec   Loss 2.0199   LearningRate 0.000998   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 131072   Required: 283 hours
Training: 2025-04-09 13:16:13,932-Speed 37.98 samples/sec   Loss 1.8640   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 131072   Required: 283 hours
Training: 2025-04-09 13:16:46,588-Speed 39.20 samples/sec   Loss 1.9933   LearningRate 0.000998   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 131072   Required: 283 hours
Training: 2025-04-09 13:17:19,796-Speed 38.55 samples/sec   Loss 1.8015   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 131072   Required: 282 hours
Training: 2025-04-09 13:17:53,028-Speed 38.52 samples/sec   Loss 1.8023   LearningRate 0.000998   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 131072   Required: 282 hours
Training: 2025-04-09 13:18:26,000-Speed 38.82 samples/sec   Loss 1.5231   LearningRate 0.000998   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 131072   Required: 281 hours
Training: 2025-04-09 13:18:59,216-Speed 38.54 samples/sec   Loss 1.5927   LearningRate 0.000998   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 65536   Required: 281 hours
Training: 2025-04-09 13:19:32,982-Speed 37.91 samples/sec   Loss 1.6824   LearningRate 0.000998   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 65536   Required: 281 hours
Training: 2025-04-09 13:20:05,032-Speed 39.94 samples/sec   Loss 1.6954   LearningRate 0.000998   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 65536   Required: 280 hours
Training: 2025-04-09 13:20:37,383-Speed 39.57 samples/sec   Loss 1.5451   LearningRate 0.000998   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 65536   Required: 280 hours
Training: 2025-04-09 13:21:09,419-Speed 39.96 samples/sec   Loss 1.8412   LearningRate 0.000998   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 65536   Required: 279 hours
Training: 2025-04-09 13:21:41,196-Speed 40.28 samples/sec   Loss 1.3814   LearningRate 0.000998   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 65536   Required: 279 hours
Training: 2025-04-09 13:22:12,335-Speed 41.11 samples/sec   Loss 1.4498   LearningRate 0.000998   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 65536   Required: 278 hours
Training: 2025-04-09 13:22:42,677-Speed 42.19 samples/sec   Loss 1.2652   LearningRate 0.000998   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 65536   Required: 278 hours
Training: 2025-04-09 13:23:13,767-Speed 41.17 samples/sec   Loss 1.3936   LearningRate 0.000998   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 65536   Required: 277 hours
Training: 2025-04-09 13:23:45,292-Speed 40.60 samples/sec   Loss 1.4653   LearningRate 0.000998   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 65536   Required: 276 hours
Training: 2025-04-09 13:24:16,030-Speed 41.64 samples/sec   Loss 1.4478   LearningRate 0.000998   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 131072   Required: 276 hours
Training: 2025-04-09 13:24:48,226-Speed 39.76 samples/sec   Loss 1.4933   LearningRate 0.000998   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 131072   Required: 276 hours
Training: 2025-04-09 13:25:18,773-Speed 41.90 samples/sec   Loss 1.3070   LearningRate 0.000998   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 65536   Required: 275 hours
Training: 2025-04-09 13:25:48,968-Speed 42.39 samples/sec   Loss 1.4321   LearningRate 0.000998   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 65536   Required: 275 hours
