Training: 2025-04-02 12:22:05,312-Speed 89.87 samples/sec   Loss 37.4337   LearningRate 0.000999   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 32768   Required: 120 hours
Training: 2025-04-02 12:22:21,538-Speed 78.89 samples/sec   Loss 37.8162   LearningRate 0.000999   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 16384   Required: 120 hours
Training: 2025-04-02 12:22:35,973-Speed 88.68 samples/sec   Loss 37.0751   LearningRate 0.000999   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 16384   Required: 120 hours
Training: 2025-04-02 12:22:50,270-Speed 89.53 samples/sec   Loss 37.2716   LearningRate 0.000999   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 16384   Required: 120 hours
Training: 2025-04-02 12:23:04,618-Speed 89.22 samples/sec   Loss 36.9251   LearningRate 0.000999   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 16384   Required: 120 hours
Training: 2025-04-02 12:23:19,123-Speed 88.25 samples/sec   Loss 36.7336   LearningRate 0.000999   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 16384   Required: 120 hours
Training: 2025-04-02 12:23:33,482-Speed 89.15 samples/sec   Loss 36.8007   LearningRate 0.000999   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:23:47,782-Speed 89.51 samples/sec   Loss 36.6787   LearningRate 0.000999   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:24:02,142-Speed 89.14 samples/sec   Loss 36.7327   LearningRate 0.000999   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:24:16,628-Speed 88.36 samples/sec   Loss 36.7336   LearningRate 0.000998   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 16384   Required: 119 hours
