Training: 2025-04-02 12:26:01,588-Speed 63.30 samples/sec   Loss 5.9286   LearningRate 0.000999   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:26:21,850-Speed 63.17 samples/sec   Loss 6.0232   LearningRate 0.000999   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:26:42,028-Speed 63.43 samples/sec   Loss 5.7994   LearningRate 0.000998   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:27:02,396-Speed 62.85 samples/sec   Loss 5.6450   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:27:22,629-Speed 63.27 samples/sec   Loss 5.1212   LearningRate 0.000998   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:27:42,839-Speed 63.34 samples/sec   Loss 4.9998   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:28:03,062-Speed 63.30 samples/sec   Loss 4.8373   LearningRate 0.000998   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:28:23,395-Speed 62.95 samples/sec   Loss 4.9292   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:28:43,551-Speed 63.51 samples/sec   Loss 4.6476   LearningRate 0.000998   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:29:03,755-Speed 63.36 samples/sec   Loss 4.3123   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:29:24,116-Speed 62.87 samples/sec   Loss 4.1786   LearningRate 0.000998   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:29:46,088-Speed 58.26 samples/sec   Loss 4.1339   LearningRate 0.000998   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:30:06,471-Speed 62.80 samples/sec   Loss 4.0080   LearningRate 0.000998   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:30:26,694-Speed 63.30 samples/sec   Loss 3.8818   LearningRate 0.000998   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:30:46,943-Speed 63.21 samples/sec   Loss 3.6316   LearningRate 0.000998   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:31:07,267-Speed 62.98 samples/sec   Loss 3.7742   LearningRate 0.000998   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:31:27,423-Speed 63.51 samples/sec   Loss 3.5984   LearningRate 0.000998   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:31:47,764-Speed 62.93 samples/sec   Loss 3.4780   LearningRate 0.000998   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:32:07,993-Speed 63.28 samples/sec   Loss 3.3129   LearningRate 0.000998   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:32:28,214-Speed 63.30 samples/sec   Loss 3.2204   LearningRate 0.000998   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:32:48,472-Speed 63.19 samples/sec   Loss 3.3286   LearningRate 0.000998   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:33:08,677-Speed 63.35 samples/sec   Loss 3.0630   LearningRate 0.000998   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:33:28,844-Speed 63.47 samples/sec   Loss 2.9635   LearningRate 0.000998   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:33:49,039-Speed 63.38 samples/sec   Loss 3.0334   LearningRate 0.000998   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:34:09,267-Speed 63.28 samples/sec   Loss 2.7774   LearningRate 0.000998   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 65536   Required: 162 hours
Training: 2025-04-02 12:34:29,460-Speed 63.39 samples/sec   Loss 3.1798   LearningRate 0.000998   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:34:51,361-Speed 58.45 samples/sec   Loss 2.9892   LearningRate 0.000998   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:35:11,606-Speed 63.23 samples/sec   Loss 2.8743   LearningRate 0.000998   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 131072   Required: 162 hours
